bidding_zone,Country,Tech,Cap_MW_2021,CapacityFactor,ACM_MW_2021
IT-S,IT,Other,41.0,0.4379152958821172,18.0
IT-S,IT,Solar,4833.0,0.132913,642.0
IT-S,IT,Wind Onshore,7106.0,0.206263,1466.0
IT-Sar,IT,Biomass,104.0,0.3797561471637838,39.0
IT-Sar,IT,Fossil Hard coal,966.0,0.4909547612458571,474.0
IT-Sar,IT,Gas,909.0,0.3244022525681255,295.0
IT-Sar,IT,Hydro Run-of-river and poundage,100.0,0.3693667224044418,37.0
IT-Sar,IT,Hydro Water Reservoir,72.0,0.2395050865235834,17.0
IT-Sar,IT,Oil,251.0,0.0757079524202812,19.0
IT-Sar,IT,Other,42.0,0.4379152958821172,18.0
IT-Sar,IT,Solar,1001.0,0.132913,133.0
IT-Sar,IT,Wind Onshore,1089.0,0.206263,225.0
IT-Sic,IT,Biomass,69.0,0.3797561471637838,26.0
IT-Sic,IT,Gas,4528.0,0.3244022525681255,1469.0
IT-Sic,IT,Hydro Run-of-river and poundage,88.0,0.3693667224044418,33.0
IT-Sic,IT,Oil,866.0,0.0757079524202812,66.0
IT-Sic,IT,Solar,1542.0,0.132913,205.0
IT-Sic,IT,Wind Onshore,2010.0,0.206263,415.0
LT,LT,Biomass,99.0,0.4859303652968036,48.0
LT,LT,Gas,1887.0,0.026811463590483,51.0
LT,LT,Hydro Run-of-river and poundage,128.0,0.3236863227739726,41.0
LT,LT,Other,37.0,0.1281710697977821,5.0
LT,LT,Solar,251.0,0.062621,16.0
LT,LT,Waste,48.0,0.7992498369210698,38.0
LT,LT,Wind Onshore,671.0,0.282555,190.0
LV,LV,Biomass,149.0,0.5386632963687759,80.0
LV,LV,Gas,1021.0,0.3478096589740425,355.0
LV,LV,Hydro Run-of-river and poundage,1578.0,0.151583561050436,239.0
LV,LV,Solar,7.0,0.103436,1.0
LV,LV,Wind Onshore,77.0,0.218567,17.0
NL,NL,Biomass,560.0,0.0052800922656875,3.0
NL,NL,Fossil Hard coal,4012.0,0.6219367950648252,2495.0
NL,NL,Gas,18500.0,0.5228619370320514,9673.0
NL,NL,Hydro Run-of-river and poundage,38.0,0.0,0.0
NL,NL,Nuclear,485.0,0.8693904203543981,422.0
NL,NL,Other,1.0,0.0,0.0
NL,NL,Solar,14823.0,0.087505,1297.0
NL,NL,Waste,780.0,0.3350736738111589,261.0
NL,NL,Wind Offshore,2460.0,0.35832,881.0
NL,NL,Wind Onshore,5186.0,0.242354,1257.0
NO1,NO,Biomass,2.0,0.2,0.0
NO1,NO,Gas,6.0,0.5327439929081995,3.0
NO1,NO,Hydro Run-of-river and poundage,2504.0,0.2000867391711415,501.0
NO1,NO,Hydro Water Reservoir,1430.0,0.4941462541505027,707.0
NO1,NO,Waste,32.0,0.2,6.0
NO1,NO,Wind Onshore,385.0,0.259841,100.0
NO2,NO,Gas,9.0,0.5327439929081995,5.0
NO2,NO,Hydro Run-of-river and poundage,1382.0,0.2000867391711415,277.0
NO2,NO,Hydro Water Reservoir,9815.0,0.4941462541505027,4850.0
NO2,NO,Waste,22.0,0.2,4.0
NO2,NO,Wind Onshore,1444.0,0.259841,375.0
NO3,NO,Gas,180.0,0.5327439929081995,96.0
NO3,NO,Hydro Run-of-river and poundage,1409.0,0.2000867391711415,282.0
NO3,NO,Hydro Water Reservoir,3442.0,0.4941462541505027,1701.0
NO3,NO,Other,31.0,0.2,6.0
NO3,NO,Other renewable,22.0,0.2,4.0
NO3,NO,Waste,4.0,0.2,1.0
NO3,NO,Wind Onshore,2126.0,0.259841,552.0
NO4,NO,Gas,252.0,0.5327439929081995,134.0
NO4,NO,Hydro Run-of-river and poundage,584.0,0.2000867391711415,117.0
NO4,NO,Hydro Water Reservoir,4889.0,0.4941462541505027,2416.0
NO4,NO,Other renewable,77.0,0.2,15.0
NO4,NO,Wind Onshore,1151.0,0.259841,299.0
NO5,NO,Gas,192.0,0.5327439929081995,102.0
NO5,NO,Hydro Run-of-river and poundage,798.0,0.2000867391711415,160.0
NO5,NO,Hydro Water Reservoir,7107.0,0.4941462541505027,3512.0
NO5,NO,Waste,32.0,0.2,6.0
PL,PL,Biomass,880.0,0.2776442306400016,244.0
PL,PL,Fossil Brown coal/Lignite,7597.0,0.5380618912332968,4088.0
PL,PL,Fossil Hard coal,20925.0,0.390881120763871,8179.0
PL,PL,Gas,2827.0,0.5342758398881404,1510.0
PL,PL,Hydro Run-of-river and poundage,447.0,0.3685072972006782,165.0
PL,PL,Hydro Water Reservoir,157.0,0.0912724149389844,14.0
PL,PL,Oil,359.0,0.4460169444902899,160.0
PL,PL,Solar,7091.0,0.061162,434.0
PL,PL,Wind Onshore,6967.0,0.278963,1944.0
RO,RO,Biomass,117.0,0.4289060948977566,50.0
RO,RO,Fossil Brown coal/Lignite,2483.0,0.4686916318596392,1164.0
RO,RO,Fossil Hard coal,986.0,0.1267720611659764,125.0
RO,RO,Gas,2184.0,0.3507648740566101,766.0
RO,RO,Hydro Run-of-river and poundage,2746.0,0.4260362988971861,1170.0
RO,RO,Hydro Water Reservoir,3388.0,0.1816996237919443,616.0
RO,RO,Nuclear,1300.0,0.9907759922725676,1288.0
RO,RO,Solar,1394.0,0.145549,203.0
RO,RO,Wind Onshore,3015.0,0.25675,774.0
RS,RS,Biomass,2.0,0.24,0.0
RS,RS,Fossil Brown coal/Lignite,4470.0,0.4782491493135601,2138.0
RS,RS,Gas,297.0,0.0068642216932363,2.0
RS,RS,Hydro Run-of-river and poundage,2037.0,0.5100702765708992,1039.0
RS,RS,Hydro Water Reservoir,472.0,0.2103519969055217,99.0
RS,RS,Other,25.0,0.9651692806857184,24.0
RS,RS,Solar,12.0,0.136481,2.0
RS,RS,Wind Onshore,398.0,0.249252,99.0
SE1,SE,Gas,1.0,0.22,0.0
SE1,SE,Hydro Run-of-river and poundage,150.0,0.459,69.0
SE1,SE,Hydro Water Reservoir,5170.0,0.459,2373.0
SE1,SE,Other,273.0,0.22,60.0
SE1,SE,Solar,9.0,0.1085,1.0
SE1,SE,Wind Onshore,1652.0,0.276621,457.0
SE2,SE,Gas,2.0,0.22,0.0
SE2,SE,Hydro Run-of-river and poundage,667.0,0.459,306.0
SE2,SE,Hydro Water Reservoir,7409.0,0.459,3401.0
SE2,SE,Other,682.0,0.22,150.0
SE2,SE,Solar,67.0,0.1085,7.0
SE2,SE,Wind Onshore,3876.0,0.276621,1072.0
SE3,SE,Gas,962.0,0.22,212.0
SE3,SE,Hydro Run-of-river and poundage,1793.0,0.459,823.0
SE3,SE,Hydro Water Reservoir,800.0,0.459,367.0
SE3,SE,Nuclear,6871.0,0.8564331921881964,5885.0
SE3,SE,Other,2807.0,0.22,618.0
SE3,SE,Solar,774.0,0.1085,84.0
SE3,SE,Wind Onshore,2891.0,0.276621,800.0
SE4,SE,Gas,618.0,0.22,136.0
SE4,SE,Hydro Run-of-river and poundage,345.0,0.459,158.0
SE4,SE,Other,1545.0,0.22,340.0
SE4,SE,Solar,240.0,0.1085,26.0
SE4,SE,Wind Onshore,1598.0,0.276621,442.0
SI,SI,Biomass,16.0,0.6005640612409348,10.0
SI,SI,Fossil Brown coal/Lignite,981.0,0.495037705825377,486.0
SI,SI,Gas,548.0,0.0828946144760948,45.0
SI,SI,Hydro Run-of-river and poundage,1125.0,0.4685406340657482,527.0
SI,SI,Nuclear,696.0,0.9041346835144072,629.0
SI,SI,Solar,461.0,0.118484,55.0
SI,SI,Waste,4.0,0.2094720319634703,1.0
SI,SI,Wind Onshore,3.0,0.205314,1.0
SK,SK,Biomass,234.0,0.4383689668416335,103.0
SK,SK,Fossil Brown coal/Lignite,276.0,0.4496821489726027,124.0
SK,SK,Fossil Hard coal,1.0,0.1951362631459327,0.0
SK,SK,Gas,1183.0,0.2670197261858087,316.0
SK,SK,Hydro Run-of-river and poundage,1212.0,0.3765277714778191,456.0
SK,SK,Hydro Water Reservoir,418.0,0.0879719145310349,37.0
SK,SK,Nuclear,2003.0,0.9030382361248412,1809.0
SK,SK,Oil,259.0,0.2343927118312812,61.0
SK,SK,Other,627.0,0.3410696729370125,214.0
SK,SK,Other renewable,115.0,0.5355012990080302,62.0
SK,SK,Solar,537.0,0.129299,69.0
SK,SK,Wind Onshore,4.0,0.162221,1.0
