bidding_zone,Tech,Gen_MWh,Cap_MW,CapacityFactor,GhostGen
IT,Hydro Water Reservoir,8092235.0,3857.0,0.2395050865235834,False
IT,Nuclear,0.0,,,False
IT,Oil,957000.0,1443.0,0.0757079524202812,False
IT,Other,3801612.7500000005,991.0,0.4379152958821172,False
IT,Other renewable,0.0,0.0,,False
IT,Waste,337523.0,132.0,0.29189411235644114,False
LT,Biomass,408648.0,96.0,0.48593036529680367,False
LT,Fossil Brown coal/Lignite,0.0,,,False
LT,Fossil Hard coal,0.0,,,False
LT,Fossil Peat,0.0,,,False
LT,Gas,401625.0,1710.0,0.026811463590483055,False
LT,Hydro Run-of-river and poundage,362943.0,128.0,0.3236863227739726,False
LT,Hydro Water Reservoir,0.0,,,False
LT,Nuclear,0.0,,,False
LT,Oil,0.0,0.0,,False
LT,Other,157189.0,140.0,0.12817106979778212,False
LT,Other renewable,0.0,0.0,,False
LT,Waste,147030.0,21.0,0.7992498369210698,False
LV,Biomass,594555.0,126.0,0.5386632963687759,False
LV,Fossil Brown coal/Lignite,0.0,,,False
LV,Fossil Hard coal,0.0,,,False
LV,Fossil Peat,0.0,,,False
LV,Gas,3381962.0,1110.0,0.34780965897404253,False
LV,Hydro Run-of-river and poundage,2043595.0,1539.0,0.151583561050436,False
LV,Hydro Water Reservoir,0.0,,,False
LV,Nuclear,0.0,,,False
LV,Oil,0.0,,,False
LV,Other,0.0,,,False
LV,Other renewable,0.0,,,False
LV,Waste,0.0,,,False
NL,Biomass,22433.0,485.0,0.005280092265687521,False
NL,Fossil Brown coal/Lignite,0.0,0.0,,False
NL,Fossil Hard coal,25230458.25,4631.0,0.6219367950648252,False
NL,Fossil Peat,0.0,0.0,,False
NL,Gas,71314812.75,15570.0,0.5228619370320514,False
NL,Hydro Run-of-river and poundage,0.0,38.0,0.0,False
NL,Hydro Water Reservoir,0.0,0.0,,False
NL,Nuclear,3701308.0,486.0,0.8693904203543981,False
NL,Oil,0.0,0.0,,False
NL,Other,0.0,1.0,0.0,False
NL,Other renewable,0.0,0.0,,False
NL,Waste,2224916.0,758.0,0.3350736738111589,False
NO,Biomass,0.0,,,False
NO,Fossil Brown coal/Lignite,0.0,,,False
NO,Fossil Hard coal,0.0,,,False
NO,Fossil Peat,0.0,,,False
NO,Gas,2961575.0,634.6,0.5327439929081995,False
NO,Hydro Run-of-river and poundage,10406363.0,5937.13,0.20008673917114156,False
NO,Hydro Water Reservoir,114591076.0,26472.27,0.49414625415050273,False
NO,Nuclear,0.0,,,False
NO,Oil,0.0,,,False
NO,Other,190822.0,0.0,0.2,True
NO,Other renewable,0.0,,,False
NO,Waste,0.0,,,False
PL,Biomass,2065831.0,849.38,0.2776442306400016,False
PL,Fossil Brown coal/Lignite,37770820.0,8013.46,0.5380618912332968,False
PL,Fossil Hard coal,76224510.0,22261.06,0.39088112076387105,False
PL,Fossil Peat,0.0,,,False
PL,Gas,11129322.0,2377.93,0.5342758398881404,False
PL,Hydro Run-of-river and poundage,1405622.0,435.43,0.3685072972006782,False
PL,Hydro Water Reservoir,125137.0,156.51,0.09127241493898446,False
PL,Nuclear,0.0,,,False
PL,Oil,1621450.0,415.0,0.44601694449028995,False
PL,Other,0.0,,,False
PL,Other renewable,0.0,,,False
PL,Waste,0.0,,,False
RO,Biomass,432080.0,115.0,0.4289060948977566,False
RO,Fossil Brown coal/Lignite,12711367.0,3096.0,0.4686916318596392,False
RO,Fossil Hard coal,1146060.0,1032.0,0.12677206116597642,False
RO,Fossil Peat,0.0,,,False
RO,Gas,9319500.0,3033.0,0.35076487405661017,False
RO,Hydro Run-of-river and poundage,10337856.0,2770.0,0.4260362988971861,False
RO,Hydro Water Reservoir,5368766.0,3373.0,0.18169962379194435,False
RO,Nuclear,11282957.0,1300.0,0.9907759922725676,False
RO,Oil,0.0,,,False
RO,Other,0.0,,,False
RO,Other renewable,0.0,,,False
RO,Waste,0.0,,,False
RS,Biomass,120779.0,8.31,1.6591524762485643,False
RS,Fossil Brown coal/Lignite,23463085.0,5600.5,0.47824914931356016,False
RS,Fossil Hard coal,0.0,,,False
RS,Fossil Peat,0.0,,,False
RS,Gas,17222.0,286.41,0.00686422169323633,False
RS,Hydro Run-of-river and poundage,8855914.0,1981.98,0.5100702765708992,False
RS,Hydro Water Reservoir,635173.0,344.7,0.2103519969055217,False
RS,Nuclear,0.0,,,False
RS,Oil,0.0,,,False
RS,Other,191334.0,22.63,0.9651692806857185,False
RS,Other renewable,0.0,,,False
RS,Waste,0.0,,,False
SE,Biomass,0.0,,,False
SE,Fossil Brown coal/Lignite,0.0,,,False
SE,Fossil Hard coal,0.0,,,False
SE,Fossil Peat,0.0,,,False
SE,Gas,0.0,,,False
SE,Hydro Run-of-river and poundage,0.0,,,False
SE,Hydro Water Reservoir,65526542.0,16301.0,0.45887975329412234,False
SE,Nuclear,64415218.0,8586.0,0.8564331921881964,False
SE,Oil,0.0,,,False
SE,Other,8994631.0,8439.0,0.12167133081296286,False
SE,Other renewable,0.0,,,False
SE,Waste,0.0,,,False
SI,Biomass,89436.0,17.0,0.6005640612409348,False
SI,Fossil Brown coal/Lignite,4006954.0,924.0,0.49503770582537704,False
SI,Fossil Hard coal,0.0,0.0,,False
SI,Fossil Peat,0.0,0.0,,False
SI,Gas,356543.0,491.0,0.08289461447609482,False
SI,Hydro Run-of-river and poundage,4321950.0,1053.0,0.4685406340657482,False
SI,Hydro Water Reservoir,0.0,0.0,,False
SI,Nuclear,5512473.0,696.0,0.9041346835144072,False
