Country,Tech,CapacityFactor,Source
NL,Waste,0.3350736738111589,ENTSOE
NL,Wind Offshore,0.35832,IRENA
NL,Wind Onshore,0.242354,IRENA
NO,Gas,0.5327439929081995,ENTSOE
NO,Hydro Run-of-river and poundage,0.2000867391711415,ENTSOE
NO,Hydro Water Reservoir,0.4941462541505027,ENTSOE
NO,Other,0.2,ENTSOE
NO,Solar,0.087005,IRENA
NO,Wind Offshore,0.248164,IRENA
NO,Wind Onshore,0.259841,IRENA
PL,Biomass,0.2776442306400016,ENTSOE
PL,Fossil Brown coal/Lignite,0.5380618912332968,ENTSOE
PL,Fossil Hard coal,0.390881120763871,ENTSOE
PL,Gas,0.5342758398881404,ENTSOE
PL,Hydro Run-of-river and poundage,0.3685072972006782,ENTSOE
PL,Hydro Water Reservoir,0.0912724149389844,ENTSOE
PL,Oil,0.4460169444902899,ENTSOE
PL,Solar,0.061162,IRENA
PL,Wind Onshore,0.278963,IRENA
RO,Biomass,0.4289060948977566,ENTSOE
RO,Fossil Brown coal/Lignite,0.4686916318596392,ENTSOE
RO,Fossil Hard coal,0.1267720611659764,ENTSOE
RO,Gas,0.3507648740566101,ENTSOE
RO,Geothermal,0.0,IRENA
RO,Hydro Run-of-river and poundage,0.4260362988971861,ENTSOE
RO,Hydro Water Reservoir,0.1816996237919443,ENTSOE
RO,Nuclear,0.9907759922725676,ENTSOE
RO,Solar,0.145549,IRENA
RO,Wind Onshore,0.25675,IRENA
RS,Biomass,0.24,Irena 24MW and 11.39GWh (2019)
RS,Fossil Brown coal/Lignite,0.4782491493135601,ENTSOE
RS,Gas,0.0068642216932363,ENTSOE
RS,Hydro Run-of-river and poundage,0.5100702765708992,ENTSOE
RS,Hydro Water Reservoir,0.2103519969055217,ENTSOE
RS,Other,0.9651692806857184,ENTSOE
RS,Solar,0.136481,IRENA
RS,Wind Onshore,0.249252,IRENA
SE,Gas,0.22,SCB
SE,Hydro Run-of-river and poundage,0.459,SCB
SE,Hydro Water Reservoir,0.459,SCB
SE,Nuclear,0.8564331921881964,ENTSOE
SE,Other,0.22,SCB
SE,Solar,0.1085,IRENA
SE,Wind Offshore,0.341443,IRENA
SE,Wind Onshore,0.276621,IRENA
SI,Biomass,0.6005640612409348,ENTSOE
SI,Fossil Brown coal/Lignite,0.495037705825377,ENTSOE
SI,Gas,0.0828946144760948,ENTSOE
SI,Hydro Run-of-river and poundage,0.4685406340657482,ENTSOE
SI,Nuclear,0.9041346835144072,ENTSOE
SI,Oil,0.0003444339474098,ENTSOE
SI,Other renewable,0.0,ENTSOE
SI,Solar,0.118484,IRENA
SI,Waste,0.2094720319634703,ENTSOE
SI,Wind Onshore,0.205314,IRENA
SK,Biomass,0.4383689668416335,ENTSOE
SK,Fossil Brown coal/Lignite,0.4496821489726027,ENTSOE
SK,Fossil Hard coal,0.1951362631459327,ENTSOE
SK,Gas,0.2670197261858087,ENTSOE
SK,Hydro Run-of-river and poundage,0.3765277714778191,ENTSOE
SK,Hydro Water Reservoir,0.0879719145310349,ENTSOE
SK,Nuclear,0.9030382361248412,ENTSOE
SK,Oil,0.2343927118312812,ENTSOE
SK,Other,0.3410696729370125,ENTSOE
SK,Other renewable,0.5355012990080302,ENTSOE
SK,Solar,0.129299,IRENA
SK,Wind Onshore,0.162221,IRENA
