MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B16	Solar	FI	2019	100	3.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	FI	2019	100	157.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	FI	2019	100	2013.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	FR	2019	100	1931.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	FR	2019	100	11952.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	FR	2019	100	3966.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	FR	2019	100	3271.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	FR	2019	100	5023.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	FR	2019	100	10955.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	FR	2019	100	8279.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	FR	2019	100	240.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	FR	2019	100	63130.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	FR	2019	100	108.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	FR	2019	100	8188.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	FR	2019	100	13610.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	GB	2019	100	4061.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	GB	2019	100	37698.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	GB	2019	100	8794.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	GB	2019	100	316.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	GB	2019	100	2744.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	GB	2019	100	1885.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	GB	2019	100	9229.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	GB	2019	100	4506.13	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	GB	2019	100	1873.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	GB	2019	100	13438.42	29-05-2024 00:00:00	
Net Generating Capacity	6	B18	Wind Offshore	GB	2019	100	9379.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	GB	2019	100	13633.25	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	GE	2019	100	912.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	GE	2019	100	13.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	GE	2019	100	1160.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	GE	2019	100	1992.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	GE	2019	100	20.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	GR	2019	100	51.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	GR	2019	100	3912.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	GR	2019	100	4902.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	GR	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	GR	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	GR	2019	100	699.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	GR	2019	100	299.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	GR	2019	100	2403.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	GR	2019	100	69.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	GR	2019	100	2441.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B19	Wind Onshore	GR	2019	100	2355.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	HR	2019	100	71.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	HR	2019	100	743.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	HR	2019	100	332.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	HR	2019	100	937.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	HR	2019	100	10.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	HR	2019	100	283.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	HR	2019	100	421.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	HR	2019	100	1436.00	29-05-2024 00:00:00	
